대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량(AADT),숙박업소(관광지수),상권밀집도(비율),위도,경도,adm_cd2,parcel_300m,parcel_500m,nearest_parcel_m,poi_store_300m,poi_hotel_300m,poi_restaurant_300m
가설건축,충청북도 음성군 금왕읍 오선리 528,충청북도,22411,10301,21,0.03,36.98454027,127.5820053,4377025300.0,88,257,0.0,0,0,0
가설건축,충청북도 옥천군 옥천읍 교동리 84-1,충청북도,27972,9212,22,0.03,36.33107643,127.588592,4373025000.0,130,272,0.0,0,4,2
가설건축,충청북도 청주시 서원구 성화동 185-7,충청북도,47463,38488,0,0.01,36.60943384,127.4467528,4311259000.0,511,1060,0.0,0,0,14
가설건축,충청북도 청주시 청원구 율량동 1489,충청북도,48080,33926,4,0.02,36.66525277,127.4802605,4311454000.0,444,1701,0.0,6,0,45
가설건축,충청북도 청주시 청원구 오창읍 탑리 230-4,충청북도,68963,41483,35,0.02,36.70461013,127.4498099,4311425300.0,249,577,0.0,0,0,0
공동주택,강원특별자치도 양양군 서면 논화리 165,강원특별자치도,2477,2120,24,0.04,38.05368299,128.5669176,5183031000.0,126,213,0.0,0,1,0
공동주택,강원특별자치도 강릉시 강동면 안인진리 181,강원특별자치도,3848,8498,53,0.04,37.73050049,128.985373,5115034000.0,276,711,0.0,0,0,1
공동주택,강원특별자치도 횡성군 둔내면 조항리 150,강원특별자치도,6063,2125,35,0.03,37.47355358,128.2252201,5173033000.0,109,263,0.0,0,0,0
공동주택,강원특별자치도 원주시 소초면 흥양리 1390-1,강원특별자치도,7989,11201,12,0.04,37.38610695,127.9894226,5113031000.0,288,687,0.0,0,2,3
공동주택,강원특별자치도 원주시 일산동 247-137,강원특별자치도,8788,17545,5,0.02,37.35103033,127.9375649,5113056000.0,404,1520,0.0,0,0,2
공동주택,강원특별자치도 원주시 일산동 247-137,강원특별자치도,8788,17545,5,0.02,37.35103033,127.9375649,5113059000.0,404,1520,0.0,0,0,2
공동주택,강원특별자치도 고성군 토성면 학야리 223-2,강원특별자치도,9709,21363,72,0.03,38.28556202,128.5009293,5182033000.0,139,244,0.0,0,0,1
공동주택,강원특별자치도 강릉시 포남동 1005-359,강원특별자치도,10670,8976,20,0.05,37.76248665,128.9090526,5115057100.0,391,1377,0.0,4,7,45
공동주택,강원특별자치도 영월군 영월읍 영흥리 1033-103,강원특별자치도,19506,2916,20,0.03,37.1882972,128.4690688,5175025000.0,553,1633,0.0,0,0,3
공동주택,강원특별자치도 영월군 영월읍 영흥리 877-3,강원특별자치도,19506,16516,20,0.03,37.18604188,128.4736534,5175025000.0,845,1810,0.0,3,1,14
공동주택,강원특별자치도 홍천군 홍천읍 연봉리 466-8,강원특별자치도,32605,21962,41,0.03,37.68372085,127.8806108,5172025000.0,918,1908,0.0,4,0,45
