hd_nm,숙박업소수
산이면,1
비전1동,1
사벌면,1
대봉2동,1
강서제2동,1
사직2동,1
사직제2동,1
사벌국면,1
삼평동,1
하대동,1
삼장면,1
사량면,1
사당제4동,1
개천면,1
산양면,1
하단제1동,1
산격3동,1
하장면,1
비산동,1
평촌동,1
대성동,1
산동읍,1
개령면,1
삼호동,1
삼랑진임천출장소,1
대명11동,1
사리면,1
교남동,1
북안면,1
가좌3동,1
회성동,1
도척면,1
명석면,1
황전면,1
가장동,1
명일제1동,1
명일제2동,1
명장제2동,1
황룡면,1
황남동,1
명호면,1
목1동,1
북아현동,1
가천면,1
목감동,1
목면,1
묘산면,1
도마2동,1
가포동,1
문광면,1
도당동,1
문정1동,1
화산면,1
문정2동,1
회인면,1
매곡면,1
회천3동,1
망원제1동,1
동산면,1
동성동,1
흥선동,1
동읍,1
가능동,1
동춘1동,1
동춘2동,1
휴천면,1
동탄3동,1
동화동,1
두암3동,1
두원면,1
