대분류,지번주소 (읍/면/동),관할주소,인구[명],교통량,숙박업소(관광지수),상권밀집도(비율),공시지가(토지단가)
자동차관련시설,충남 천안시 서북구 쌍용동 878,충청남도 천안시 서북구 쌍용1동,13139,,,0.03,
자동차관련시설,충남 아산시 탕정면 동산리 128,충청남도 아산시 탕정면,47364,,,0.01,
자동차관련시설,충남 아산시 실옥동 92,충청남도 아산시 온양4동,19312,,,0.01,
자동차관련시설,충북 청주시 흥덕구 강서동 172-1,충청북도 청주시 흥덕구 강서1동,30676,,,0.02,
자동차관련시설,충북 충주시 금릉동 214-20,충청북도 충주시 칠금·금릉동,13824,,,0.05,
자동차관련시설,충북 청주시 청원구 오동동 6-1,충청북도 청주시 청원구 오근장동,17362,,,0.04,
자동차관련시설,충북 청주시 흥덕구 비하동 321-2,충청북도 청주시 흥덕구 강서1동,30676,,,0.02,
자동차관련시설,충북 청주시 흥덕구 봉명동 365-1,충청북도 청주시 흥덕구 봉명2·송정동,24433,,,0.03,
업무시설,서울특별시,,,,,,
업무시설,서울특별시,,,,,,
업무시설,서울특별시,,,,,,
업무시설,서울특별시,,,,,,
업무시설,서울특별시,,,,,,
업무시설,경기,,,,,,
업무시설,경기,,,,,,
업무시설,경기,,,,,,
업무시설,경기,,,,,,
업무시설,경기,,,,,,
업무시설,인천,,,,,,
업무시설,인천,,,,,,
업무시설,인천,,,,,,
업무시설,인천,,,,,,
업무시설,인천,,,,,,
업무시설,강원,,,,,,
업무시설,강원,,,,,,
업무시설,강원,,,,,,
업무시설,강원,,,,,,
업무시설,강원,,,,,,
업무시설,충청북도,,,,,,
업무시설,충청북도,,,,,,
업무시설,충청북도,,,,,,
업무시설,충청북도,,,,,,
업무시설,충청북도,,,,,,
업무시설,충청남도,,,,,,
업무시설,충청남도,,,,,,
업무시설,충청남도,,,,,,
업무시설,충청남도,,,,,,
업무시설,충청남도,,,,,,
업무시설,대전,,,,,,
업무시설,대전,,,,,,
업무시설,대전,,,,,,
업무시설,대전,,,,,,
업무시설,대전,,,,,,
업무시설,경상북도,,,,,,
업무시설,경상북도,,,,,,
업무시설,경상북도,,,,,,
업무시설,경상북도,,,,,,
업무시설,경상북도,,,,,,
업무시설,경상남도,,,,,,
업무시설,경상남도,,,,,,
업무시설,경상남도,,,,,,
업무시설,경상남도,,,,,,
업무시설,경상남도,,,,,,
업무시설,대구,,,,,,
업무시설,대구,,,,,,
업무시설,대구,,,,,,
업무시설,대구,,,,,,
업무시설,대구,,,,,,
업무시설,울산,,,,,,
업무시설,울산,,,,,,
업무시설,울산,,,,,,
업무시설,울산,,,,,,
업무시설,울산,,,,,,
업무시설,부산,,,,,,
업무시설,부산,,,,,,
업무시설,부산,,,,,,
업무시설,부산,,,,,,
업무시설,부산,,,,,,
업무시설,전라북도,,,,,,
업무시설,전라북도,,,,,,
업무시설,전라북도,,,,,,
업무시설,전라북도,,,,,,
업무시설,전라북도,,,,,,
업무시설,전라남도,,,,,,
업무시설,전라남도,,,,,,
업무시설,전라남도,,,,,,
업무시설,전라남도,,,,,,
업무시설,전라남도,,,,,,
업무시설,광주,,,,,,
업무시설,광주,,,,,,
업무시설,광주,,,,,,
업무시설,광주,,,,,,
업무시설,광주,,,,,,
업무시설,제주,,,,,,
업무시설,제주,,,,,,
업무시설,제주,,,,,,
업무시설,제주,,,,,,
업무시설,제주,,,,,,
판매시설,서울특별시 서초구 방배동 937-1,서울특별시 서초구 방배1동,15568,,,,
판매시설,서울특별시 성동구 성수동2가 322-13,서울특별시 성동구 성수동2가1동,14856,,,,
판매시설,서울특별시 광진구 자양동 6-20,서울특별시 광진구 자양4동,24515,,,,
판매시설,서울특별시 영등포구 양평동4가 3-4,서울특별시 영등포구 양평2동,22117,,,,
판매시설,서울특별시 강남구 신사동 534-18,서울특별시 강남구 신사동,14143,,,,
판매시설,경기도 부천시 소사구 범박동 16-12,경기도 부천시 소사구 범박동,,,,,
판매시설,경기도 의정부시 용현동 277-5,경기도 의정부시 송산1동 ,,,,,
판매시설,경기도 고양시 일산서구 구산동 1477-3,경기도 고양시 일산서구 가좌동 ,,,,,
판매시설,경기도 용인시 처인구 포곡읍 마성리 12-3,경기도 용인시 처인구 포곡읍,,,,,
판매시설,경기도 파주시 탄현면 축현리 35-16,경기도 파주시 탄현면,,,,,
판매시설,인천광역시 중구 신흥동1가 34-87,인천광역시 중구 신흥동 ,,,,,
